somme 0 [2, 3, 7, 5, 8] (TypeHand.HIGH_CARD) 416$
somme 1 [2, 4, Q, 7, 5] (TypeHand.HIGH_CARD) 253$
somme 2 [2, 6, 7, A, K] (TypeHand.HIGH_CARD) 427$
somme 3 [2, 6, T, 5, 9] (TypeHand.HIGH_CARD) 173$
somme 4 [2, 6, T, K, 4] (TypeHand.HIGH_CARD) 692$
somme 5 [2, 6, Q, 5, 9] (TypeHand.HIGH_CARD) 18$
somme 6 [2, T, 7, 9, 8] (TypeHand.HIGH_CARD) 592$
somme 7 [3, 5, 2, 7, 4] (TypeHand.HIGH_CARD) 184$
somme 8 [3, 5, 9, 4, 6] (TypeHand.HIGH_CARD) 728$
somme 9 [3, 6, A, K, 9] (TypeHand.HIGH_CARD) 5$
somme 10 [3, 8, 2, A, 7] (TypeHand.HIGH_CARD) 305$
somme 11 [3, T, 5, 8, 6] (TypeHand.HIGH_CARD) 952$
somme 12 [3, Q, 4, 2, K] (TypeHand.HIGH_CARD) 879$
somme 13 [3, Q, K, 2, T] (TypeHand.HIGH_CARD) 152$
somme 14 [3, A, T, 2, 6] (TypeHand.HIGH_CARD) 996$
somme 15 [3, A, T, 5, 2] (TypeHand.HIGH_CARD) 303$
somme 16 [3, A, K, 2, 4] (TypeHand.HIGH_CARD) 460$
somme 17 [4, 6, Q, 8, T] (TypeHand.HIGH_CARD) 596$
somme 18 [4, 7, 5, 3, K] (TypeHand.HIGH_CARD) 369$
somme 19 [4, 7, 5, T, K] (TypeHand.HIGH_CARD) 461$
somme 20 [4, 7, 8, 5, K] (TypeHand.HIGH_CARD) 949$
somme 21 [4, 8, Q, K, T] (TypeHand.HIGH_CARD) 742$
somme 22 [4, 9, 6, 7, K] (TypeHand.HIGH_CARD) 564$
somme 23 [4, T, 2, Q, 8] (TypeHand.HIGH_CARD) 878$
somme 24 [4, T, 7, 5, 9] (TypeHand.HIGH_CARD) 745$
somme 25 [4, K, 3, 9, T] (TypeHand.HIGH_CARD) 775$
somme 26 [4, K, 8, A, T] (TypeHand.HIGH_CARD) 324$
somme 27 [4, A, 8, 6, Q] (TypeHand.HIGH_CARD) 495$
somme 28 [5, 2, 8, Q, K] (TypeHand.HIGH_CARD) 141$
somme 29 [5, 2, 9, 8, Q] (TypeHand.HIGH_CARD) 160$
somme 30 [5, 4, A, 6, 8] (TypeHand.HIGH_CARD) 930$
somme 31 [5, 6, 4, 9, T] (TypeHand.HIGH_CARD) 655$
somme 32 [5, 6, Q, 2, A] (TypeHand.HIGH_CARD) 148$
somme 33 [5, T, 8, Q, K] (TypeHand.HIGH_CARD) 301$
somme 34 [5, Q, 4, T, 7] (TypeHand.HIGH_CARD) 19$
somme 35 [5, A, 6, Q, T] (TypeHand.HIGH_CARD) 800$
somme 36 [5, A, 8, 2, T] (TypeHand.HIGH_CARD) 662$
somme 37 [6, 2, A, 3, 7] (TypeHand.HIGH_CARD) 700$
somme 38 [6, 3, 4, 7, A] (TypeHand.HIGH_CARD) 701$
somme 39 [6, 3, 9, 8, Q] (TypeHand.HIGH_CARD) 578$
somme 40 [6, 4, 8, 2, 5] (TypeHand.HIGH_CARD) 16$
somme 41 [6, 5, 9, Q, 3] (TypeHand.HIGH_CARD) 293$
somme 42 [6, 7, 2, Q, 8] (TypeHand.HIGH_CARD) 168$
